S.No,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
18,2/6/2023 18:45,2/27/2023 15:00,2/28/2023 15:00,[Providing and supplying at site complete assembly of elastomeric bearing with top_bottom plate Metallic Guide bearings suitable for composite girder and Rocker and Roller bearings suitable for OWG spans as per RDSO STANDARD DRAWING and specifica] [RCON/2074/KGS/TENDER/BEARING-2][2023_IRCON_144332_1],IRCON International Limited||MP - IRCON||Katni Grade Separator - IRCON
19,2/6/2023 18:40,2/16/2023 15:00,2/18/2023 16:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Kalna, OA-Burdwan of Asansol BA.(2nd call)] [35/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144398_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
20,2/6/2023 18:30,3/1/2023 18:00,3/3/2023 11:00,"[Facelift works like Provision of ACP Cladding at Arrival and Departure Hall, Provision of metal false ceiling, Provision of Granite flooring and miscellaneous works at Kadapa Airport] [AAI/ENGG(C)/FALSE CEILING/2022-23][2023_AAI_143777_1]",Airports Authority of India||Southern Region - AAI||TIRUPATI - AAI||ENGG CIVIL-VOTP - AAI
21,2/6/2023 18:30,3/1/2023 18:00,3/3/2023 11:00,"[Facelift works like Provision of ACP Cladding at Arrival and Departure Hall, Provision of metal false ceiling, Provision of Granite flooring and miscellaneous works at Kadapa Airport] [AAI/ENGG(C)/FALSE CEILING/2022-23][2023_AAI_143777_1]",Airports Authority of India||Southern Region - AAI||TIRUPATI - AAI||ENGG CIVIL-VOTP - AAI
22,2/6/2023 18:30,2/16/2023 15:00,2/18/2023 16:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Bahula, OA-Asansol of Asansol BA.(2nd call)] [33/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144376_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
23,2/6/2023 18:00,2/13/2023 18:00,2/16/2023 15:30,[Jungle cleaning around the CKReddy hall ALTTC Compound Ghaziabad] [29/2022-23/EE/CD/ALT/GZB][2023_BSNL_144313_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Advanced Level Telecom Training Centre Ghaziabad||O/o CGMT, ALTTC"
24,2/6/2023 18:00,3/8/2023 15:00,3/9/2023 15:00,"[Supply, installation and commissioning of GC-Electron Capture Detector] [28(09)/2022/ Pur/T-173][2023_CSIR_144175_1]",Council of Scientific and Industrial Research||CLRI-Chennai - CSIR||Purchase-CLRI - CSIR
25,2/6/2023 18:00,2/13/2023 18:00,2/16/2023 15:30,[REPAIRING CK READY HALL ] [30/2022-23/EE/CD/ALT/GZB][2023_BSNL_144342_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Advanced Level Telecom Training Centre Ghaziabad||O/o CGMT, ALTTC"
26,2/6/2023 18:00,2/13/2023 15:00,2/14/2023 15:00,[Development beautification of Park/water Fall Behind PVR Saket under Ward no.154 South Zone] [DDH/SZ/ MCD/2022-23/3396/ NIT No.01][2023_MCD_144334_1],Municipal Corporation of Delhi||Horticulture Department - MCD
27,2/6/2023 17:30,2/13/2023 14:30,2/14/2023 14:30,"[Supply of Small Animal Behavioral monitoring, tracking and analysis system with accessories] [10325/300123/1652/EQPT][2023_CSIR_144344_1]",Council of Scientific and Industrial Research||CCMB-Hyderabad - CSIR||Purchase-CCMB - CSIR
28,2/6/2023 17:30,2/13/2023 10:00,2/14/2023 10:15,[Installation of Green Agro-Shade Net Rajender nursery KBZ.] [DDH/KBZ/NIT/01/01][2023_MCD_144337_1],Municipal Corporation of Delhi||Horticulture Department - MCD
29,2/6/2023 17:30,2/13/2023 10:00,2/14/2023 10:15,[Installation of Green Agro-Shade Net House at Bhorgarh Nursery Narela ward no- 2 Narela Zone.] [DDH/NARELA/NIT/01/01][2023_MCD_143764_1],Municipal Corporation of Delhi||Horticulture Department - MCD
30,2/6/2023 16:00,2/27/2023 12:00,2/28/2023 13:00,"[Providing Commercial or Taxi Vehicles on monthly hire basis NHAI, PIU Gorakhpur (1st Call)] [PIU Gorakhpur/Vehicle/22-23/1][2023_NHAI_144327_1]",National Highways Authority of India||RO-Lucknow(E) - NHAI||Gorakhpur - NHAI
31,2/6/2023 14:00,2/23/2023 15:00,2/24/2023 15:00,"[Supply, Installation and Commissioning of Latest Wired Digital Audio Conference System] [06(07)/2022-P][2023_CSIR_144270_1]",Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||Purchase-IIIM - CSIR
32,2/6/2023 11:30,2/20/2023 16:00,2/21/2023 16:30,"[Architectural and Engineering Consultancy Services for Construction and Development of Interior Work of Town Hall at Vyasnagar, Jajpur, Odisha for the year 2022-23 ] [NPCC/SEZ/AC/TWH/239 ][2023_NPCC_144225_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC
33,2/6/2023 10:30,2/28/2023 15:00,3/3/2023 15:30,[Providing of Electro Mechanical Infrastructure for NFS Project Package 1B at IAF STATION 1 BIDAR SH Advanced Lightning System Surge Protection Devices SPD and Misc. Works second call] [6 ED BSNL HBL 22 23][2023_BSNL_144174_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||CE (Electrical) Bengaluru
34,2/4/2023 18:30,2/13/2023 18:00,2/13/2023 18:30,"[EOI Document for Selection of Back End Partner for Implementation of Supply, Installation of Computer Systems, Printers, UPS and Networking and Electrification etc. in 412 Government Schools with 5 Years On-Site Comprehensive Warranty] [TCIL/78/IT1/22-23/RCSE-ICTLabs][2023_TCIL_144059_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL
35,2/4/2023 18:00,3/8/2023 15:00,3/9/2023 15:00,"[Supply, installation and commissioning of Near Infrared Spectroscopy] [28(10)/2022/ Pur/T-172][2023_CSIR_144167_1]",Council of Scientific and Industrial Research||CLRI-Chennai - CSIR||Purchase-CLRI - CSIR
36,2/4/2023 18:00,3/8/2023 15:00,3/9/2023 15:00,"[Supply, installation and commissioning of Liquid Chromatograph Mass Spectrometer] [28(11)/2022/Pur/T-169][2023_CSIR_144077_1]",Council of Scientific and Industrial Research||CLRI-Chennai - CSIR||Purchase-CLRI - CSIR
37,2/4/2023 17:35,2/13/2023 17:00,2/14/2023 17:00,"[EOI Document for Operation and Management of Emergency Response Centre (Dial-108) for Ambulance Services along with 24 x7 Call Center for Department of Health, Government of Meghalaya] [TCIL/ NHM/MGH/2023][2023_TCIL_144168_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL
38,2/4/2023 17:00,3/6/2023 15:00,3/7/2023 16:00,[5th call for Engagement of Safety Consultant Services during O and M of Simga-Sargaon section from Km 48.580 to Km 91.026 Package-II and Sargaon-Bilaspur section Package-III from Km 91.026 to Km 126.525 of Raipur-Bilaspur Road in the State CG.] [11052/RO-Raipur/Tender/SC/5th call][2023_NHAI_144142_1],National Highways Authority of India||RO-Raipur - NHAI
39,2/4/2023 17:00,3/6/2023 15:00,3/7/2023 16:00,[3rd call for Engagement of Safety Consultant Services during O and M of Odisha Chhattisgarh Border to Aurang of NH-53 Km.88.000 to Km.239.000 Dhamtari-Kanker Section of NH-30 Km.81.500 to Km.130.000 Bedma-Dahikonga section of NH-30.] [11052/RO-Raipur/Tender/SC/3rd call][2023_NHAI_144147_1],National Highways Authority of India||RO-Raipur - NHAI
40,2/4/2023 17:00,3/6/2023 15:00,3/7/2023 16:00,[3rd call for Engagement of Safety Consultant Services during O and M of End of Durg Bypass to CG MH Border Durg Bypass and Raipur to Aurang and Raipur to Simga] [11052/RO-Raipur/Tender/SC-3rd call][2023_NHAI_144152_1],National Highways Authority of India||RO-Raipur - NHAI
41,2/4/2023 16:00,2/16/2023 14:30,2/16/2023 15:00,"[Indoor and outdoor signaling work in connection with, Installation, of SSDAC as dual detection for BPAC in Washimbe Malik peth and Tilati Kalaburagi and single line on 10 Block sections of KWV MRJ and PB SNSI of Solapur Division] [C-2(b)/WC/910/0154/2023][2023_CEL_144118_1]",Central Electronics Limited
42,2/4/2023 15:00,2/24/2023 18:00,2/27/2023 12:00,"[Annual Rate Contract For MDPE Pipe Network Laying And LMC Installation And Associated Works For Kozhikode Wayanad, Kannur Kasaragod, Thrissur Palakkad, And Malappuram] [IOAGPL/PE/LYG/2023-24/46][2023_AGPL_143476_4]",Indian Oil-Adani Gas Private Limited
43,2/4/2023 14:00,2/18/2023 16:00,2/20/2023 16:00,"[Replacement of Main Fire Alarm Control Panel at Admn. Bldg. Doorsanchar Bhawan, Mall Road, Kanpur.] [12/TED-KP/2022-23 dt.17.01.2023][2023_BSNL_144130_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur
44,2/4/2023 12:30,2/9/2023 15:00,2/9/2023 15:30,"[Desilting of Z block Nallah,Sanjay colony Main Nallah, A C and Y Block main Nallah, Tata Steel Nallah and okhla Phase-I Nallah in ward No. 177 Harkesh Nagar Central Zone] [22/EE (M)-II/CNZ/TC/2022-23/04][2023_MCD_144114_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
45,2/4/2023 12:30,2/9/2023 15:00,2/9/2023 15:30,"[Desliting of Gaffar Manzil Nallah in W.No.189, Zakir Nagar,CNZ.] [22/EE (M)-II/CNZ/TC/2022-23/02][2023_MCD_144101_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
46,2/4/2023 12:30,2/9/2023 15:00,2/9/2023 15:30,[Desilting of Abul Fazal Nallah Nayi Basti Nallah okhla Vihar Nallah in Ward no.188 Abul Fazal Nalah Nayi Bsti Nallah okhla Vihar Nallah in Ward no.188 Abul Fazal Enclave CNZ.] [22/EE (M)-II/CNZ/TC/2022-23/03][2023_MCD_144102_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
47,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Garhi Village from Prakash Mohalla to Sriniwaspuri near Cambridge School in Ward No. 146, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-16][2023_SDMC_144090_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
48,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of New Friends Colony Nalla from Railway Line to Mathura Road and Petrol Pump to Club Nallah (H. No. 19 Rampur House) in Ward No. 174, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-21][2023_SDMC_144097_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
49,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Sri Niwas Puri Nalla from Sabzi Mandi to Railway line (Private Colony) in Ward No. 174, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-20][2023_SDMC_144096_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
50,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,[Desilting/cleaning of Kushak Nallah from INA to Railway X-ing near Sewa Nagar and Drain from A-Block NDSE-I to Kushak Nallah in Ward No. 147 (Kotla Mubarakpur) Central Zone] [D/EE (M)-I/CNZ 2022-2023/43-19][2023_SDMC_144094_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
51,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of L.S.R. Nallah from Kalkadevi marg to Ring road (Banglow No. 1) to to Feroz Gandhi Marg, National Park Nallah from Frank Anothoni School to L.S.R. Nallah and Drain from Jangpura Flyover to Round about A-Block Jangpura Extn] [D/EE (M)-I/CNZ 2022-2023/43-18][2023_SDMC_144092_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
52,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Chirag Delhi Nallah from Andrews Ganj to Ring Road in Ward No. 146, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-17][2023_SDMC_144091_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
53,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Khushak Nallah from Railway Crossing to Barapulla Nallah (Lala Lajpat Rai Marg) in Ward No. 145, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-15][2023_SDMC_144089_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
54,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Defence Colony Nallah from Ring Road to Khusak nallah, Drain in D-Block Defence colony from Ring Road to Ratan Lal Sehdev Marg, Drain in C-Block Defence colony from Central road to Ratan Lal Sehdev Marg and Anand Lok Nallah ] [D/EE (M)-I/CNZ 2022-2023/43-14][2023_SDMC_144088_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
55,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Drain Jangpura-A Nallah from Hospital Road to Barapulla Nallah, Apna Bazar to Sriniwaspuri Main Nallah (Out fall), Nallah on Dr. Ram Lal Verma Marg Lajpat Nagar (both side) and Pipe drain 600 mm dia Shiv Mandir Marg from Defenc] [D/EE (M)-I/CNZ 2022-2023/43-13][2023_SDMC_144087_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
56,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Drain from Manokamna Mandir to Pocket B Sidharth Extn., Kilokari Nallah from Kilokari Village to Ring Raod and Pipe drain from Pocket-A sidharth Extn. to Sump well Pocket B Sidharth Extn. in Ward No. 143 (Sidharth Nagar), C] [D/EE (M)-I/CNZ 2022-2023/43-12][2023_SDMC_144086_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
57,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Nallah No. 12A Plus 2 from Metro Station Pargati Maidan (Mathura Road) to Ring road in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-10][2023_SDMC_144084_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
58,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Nallah No. 15 from Railway Track to Yamuna River in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-9][2023_SDMC_144083_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
59,2/4/2023 12:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/ cleaning of Nallah No. 14 from Petrol Pump to Yamuna River in Ward No. 142, Central Zone.] [D/EE (M)-I/CNZ 2022-2023/43-8][2023_SDMC_144082_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
60,2/4/2023 11:00,2/9/2023 15:00,2/9/2023 15:05,"[Desilting/cleaning of Sriniwaspuri Nallah/Club Nalah, Maharani Bagh Nallah from Cambridge School Sriniwaspuri to C.V. Raman Marg Culvert in Ward No. 89-S/Central Zone] [D/EE (M)-I/CNZ 2022-2023/43-7][2023_SDMC_144081_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
61,2/4/2023 10:00,2/28/2023 14:00,3/1/2023 14:00,"[Repairs to the drains walls along the WQ-6 compound wall and beside AVR tanks road area in WOB area] [IENG/CP/EE(South) /T/ 77, Dt. 03-02-2023][2023_VPT_144024_1]",Visakhapatnam Port Trust||Civil Engineering - VPT||SE CP Division - VPT
62,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No. 239/53E Gokalpuri under the jurisdiction of EE(M-I) Shah.N.Zone-1. Desilting of drain along community center road to B-Block dhalao Gokalpuri. 2. Desilting of drain from vishnu medical store c b] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_14],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
63,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No. 237/55E under the jurisdiction of EE(M-I) Shah.N.Zone-1.Desilting of Nalla from P.W.D P/house Harsh Vihar to Jail Boundary wall 2. Desilting of Nalla on both side along Gali No 9 Bank Colony Har] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_12],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
64,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No 240/52-E under the jurisdiction of EE(M-I) Shah.N.Zone-1. Desilting of nallah in Bhagirathi Vihar from Brijpuri culvert to Drain No.1 in W.No.261 Shah.North Zone. 2. Desilting of nallah in Ambedk] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_16],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
65,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No 219/35-E under the jurisdiction of EE(M-I) Shah.N.Zone-(1) Desilting of nalla from SSBL drain Jalli Kheda Vill. To SDN Hopt. Road in W.No. 241. (2)Nallah along DDA park from MCD sotre to Q-Pkt. D] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_15],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
66,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No 220/32-E under the jurisdiction of EE(M-I) Shah.N.Zone1.Internal nallas in D- block Nand Nagari from D-1/275 to D-1/231 2.Nalla both side E block pump house nalla in Nand Nagari from E-4/160 to p] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_18],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
67,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Hiring of machinery for desilting/removal of silt from SSBL drain falls in ward No 219/35-E under the jurisdiction of EE(M-I) Shah.N.Zone-SSBL drain from 100Ft. road no.68 to G.T.Road flyover Rd 1946 to 2362 mtr and SSBL drain from 100Ft. road no.68 ] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_17],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
68,2/4/2023 9:00,2/10/2023 14:00,2/13/2023 14:30,"[De-silting of drains in the area of ward no. 57 E/242 Dayalpur (East Karawal Nagar) drains-Brijpuri road from gali no. 1 to Shiv Vihar Tiraha Babboo nagar LHS, Industrial area Nalla from Karawal nagar road to upto Mukhya market one side., Karawal nag] [EE M II Shah N 2022-23-10-09][2023_MCD_143995_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
69,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No 218 under the jurisdiction of EE(M-I) Shah.N.Zone-1.Nalla along Murga Mkt. in G AND H block Sunder Nagari from mandir to Upto pumphouse including sump well 2.Nalla in L Block Sunder Nagari from ] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_11],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
70,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No 217 under the jurisdiction of EE(M-I) Shah.N.Zone-Nalla in Old Seemapuri G block to Pump house] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_10],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
71,2/4/2023 9:00,2/9/2023 14:30,2/10/2023 14:30,[Desilting/removal of silt from drains falls in ward No. 238/54E under the jurisdiction of EE(M-I) Shah.N.Zone-1. Desilting of Nalla from Shamshan Ghat to Saboli goan bada kuan (Rathore Cement Store) upto Phane Khan More 2. Desilting of Nalla along ra] [EE-M-I/SHN/Acct/TC/2022-23/10][2023_MCD_142113_13],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
72,2/3/2023 18:55,3/23/2023 11:00,3/24/2023 11:30,[Construction of STRR (West side) NH948A Bagganadoddi (Anekal Taluk) to S. Mudugadapalli (Hosur Taluk) from km 120.980 to km 144.420/144.170 (Design) Pkg3 in Karnataka-Tamil Nadu on HAM under Bharatmala Pariyojana (Pkg-3)] [NHAI/KNT/STRR/2022/ Ph-II/Pkg-3/182998][2023_NHAI_144064_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI
73,2/3/2023 18:30,2/16/2023 14:00,2/17/2023 14:00,"[Providing Security Services viz. Regulation of Movement of Men, Materials, Vehicles and Securing Vital Installations at the Entry and Exit Points at CSIR-CECRI, Karaikudi and its Unit at Mandapam] [CECRI GEN 01/2023][2023_CSIR_144046_1]",Council of Scientific and Industrial Research||CECRI-Karaikudi - CSIR||ESD-CECRI - CSIR
74,2/3/2023 18:00,2/9/2023 14:00,2/10/2023 14:30,"[Installation of Agro-Shade Net in Seed Bed at Gh-6 Paschim Vihar Ward No.48 , Rohini zone] [NITNo.DDH/RZ/2022-23/01-02][2023_NDMC_144053_1]",North Delhi Municipal Corporation||Horticulture -North DMC
